"var","values"
"Status","In post"
"Status","New entrant CS"
"Status","Leaver CS"
"Status","Leaver Dept."
"Year","2022"
"Parent_department","Cabinet Office"
"Parent_department","Charity Commission"
"Parent_department","Chancellor's other departments"
"Parent_department","HM Treasury"
"Parent_department","Ministry of Justice"
"Parent_department","Scottish Government"
"Parent_department","Northern Ireland Office"
"Parent_department","Competition and Markets Authority"
"Parent_department","Ministry of Defence"
"Parent_department","Foreign, Commonwealth and Development Office"
"Parent_department","Attorney General's Departments"
"Parent_department","Home Office"
"Parent_department","Office of the Secretary of State for Scotland"
"Parent_department","Department for Work and Pensions"
"Parent_department","Department for Business, Energy and Industrial Strategy"
"Parent_department","UK Export Finance"
"Parent_department","Department for International Trade"
"Parent_department","HM Revenue and Customs"
"Parent_department","National Crime Agency"
"Parent_department","Welsh Government"
"Parent_department","Department of Health and Social Care"
"Parent_department","Water Services Regulation Authority"
"Parent_department","Department for Digital, Culture, Media and Sport"
"Parent_department","Office for Standards in Education, Children's Services and Skills"
"Parent_department","Estyn"
"Parent_department","Office of Rail and Road"
"Parent_department","Department for Education"
"Parent_department","Office of the Secretary of State for Wales"
"Parent_department","Department for Transport"
"Parent_department","Food Standards Agency"
"Parent_department","Office of Gas and Electricity Markets"
"Parent_department","Department for Environment, Food and Rural Affairs"
"Parent_department","Department for Levelling Up, Housing and Communities"
"Parent_department","HM Land Registry"
"Parent_department","The National Archives"
"Parent_department","UK Statistics Authority"
"Parent_department","UK Supreme Court"
"Parent_department","Office of Qualifications and Examinations Regulation"
"Organisation","Cabinet Office (excl. agencies)"
"Organisation","Charity Commission"
"Organisation","Government Actuary's Department"
"Organisation","HM Treasury (excl. agencies)"
"Organisation","Ministry of Justice (excl. agencies)"
"Organisation","Scottish Courts and Tribunals Service"
"Organisation","Northern Ireland Office"
"Organisation","Competition and Markets Authority"
"Organisation","Ministry of Defence (excl. agencies)"
"Organisation","FCDO Services"
"Organisation","Attorney General's Office"
"Organisation","Home Office"
"Organisation","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)"
"Organisation","Crown Office and Procurator Fiscal Service"
"Organisation","Health and Safety Executive"
"Organisation","Advisory, Conciliation and Arbitration Service"
"Organisation","Foreign, Commonwealth and Development Office (excl. agencies)"
"Organisation","UK Export Finance"
"Organisation","Department for Business, Energy and Industrial Strategy (excl. agencies)"
"Organisation","Department for International Trade"
"Organisation","HM Revenue and Customs (excl. agencies)"
"Organisation","National Crime Agency"
"Organisation","National Savings and Investments"
"Organisation","Government Internal Audit Agency"
"Organisation","National Infrastructure Commission"
"Organisation","Welsh Government (excl. agencies)"
"Organisation","Crown Prosecution Service"
"Organisation","Serious Fraud Office"
"Organisation","Department for Work and Pensions (excl. agencies)"
"Organisation","Department of Health and Social Care (excl. agencies)"
"Organisation","Water Services Regulation Authority"
"Organisation","Defence Equipment and Support"
"Organisation","Royal Fleet Auxiliary"
"Organisation","Department for Digital, Culture, Media and Sport"
"Organisation","Office for Standards in Education, Children's Services and Skills"
"Organisation","Estyn"
"Organisation","Office of Rail and Road"
"Organisation","Department for Education (excl. agencies)"
"Organisation","UK Debt Management Office"
"Organisation","Office of the Secretary of State for Wales"
"Organisation","Maritime and Coastguard Agency"
"Organisation","Scottish Government (excl. agencies)"
"Organisation","Food Standards Agency"
"Organisation","Office of Gas and Electricity Markets"
"Organisation","Rural Payments Agency"
"Organisation","Department for Environment, Food and Rural Affairs (excl. agencies)"
"Organisation","Department for Levelling Up, Housing and Communities (excl. agencies)"
"Organisation","Department for Transport (excl. agencies)"
"Organisation","HM Crown Prosecution Service Inspectorate"
"Organisation","Accountant in Bankruptcy"
"Organisation","Medicines and Healthcare Products Regulatory Agency"
"Organisation","Office of the Scottish Charity Regulator"
"Organisation","Animal and Plant Health Agency"
"Organisation","Transport Scotland"
"Organisation","HM Courts and Tribunals Service"
"Organisation","Revenue Scotland"
"Organisation","Food Standards Scotland"
"Organisation","Scottish Fiscal Commission"
"Organisation","Companies House"
"Organisation","Queen Elizabeth II Centre"
"Organisation","Intellectual Property Office"
"Organisation","The Insolvency Service"
"Organisation","Registers of Scotland"
"Organisation","Driver and Vehicle Licensing Agency"
"Organisation","UK Hydrographic Office"
"Organisation","Driver and Vehicle Standards Agency"
"Organisation","Met Office"
"Organisation","Vehicle Certification Agency"
"Organisation","Veterinary Medicines Directorate"
"Organisation","HM Land Registry"
"Organisation","Wilton Park"
"Organisation","Valuation Office Agency"
"Organisation","Planning Inspectorate"
"Organisation","The National Archives"
"Organisation","UK Health Security Agency"
"Organisation","Scottish Prison Service"
"Organisation","National Records of Scotland"
"Organisation","Scottish Public Pensions Agency"
"Organisation","Government Legal Department"
"Organisation","Office of the Public Guardian"
"Organisation","Student Awards Agency for Scotland"
"Organisation","Defence Science and Technology Laboratory"
"Organisation","UK Statistics Authority"
"Organisation","Centre for Environment, Fisheries and Aquaculture Science"
"Organisation","Education Scotland"
"Organisation","Crown Commercial Service"
"Organisation","Scottish Housing Regulator"
"Organisation","UK Supreme Court"
"Organisation","Disclosure Scotland"
"Organisation","Legal Aid Agency"
"Organisation","Criminal Injuries Compensation Authority"
"Organisation","Office of Qualifications and Examinations Regulation"
"Organisation","Office for Budget Responsibility"
"Organisation","Standards and Testing Agency"
"Organisation","UK Space Agency"
"Organisation","Education and Skills Funding Agency"
"Organisation","Institute for Apprenticeships and Technical Education"
"Organisation","Submarine Delivery Agency"
"Organisation","Welsh Revenue Authority"
"Organisation","Teaching Regulation Agency"
"Organisation","Social Security Scotland"
"Organisation","Government Property Agency"
"Organisation","Forestry and Land Scotland"
"Organisation","Scottish Forestry"
"Organisation","Defence Electronics and Components Agency"
"Organisation","HM Prison and Probation Service"
"Organisation","Public Health England"
"Responsibility_level_grouped","EO"
"Responsibility_level_grouped","SEO/HEO"
"Responsibility_level_grouped","G6/G7"
"Responsibility_level_grouped","AA/AO"
"Responsibility_level_grouped","SCS level"
"Responsibility_level_grouped","Unknown"
"Responsibility_level_ungrouped","EO"
"Responsibility_level_ungrouped","HEO"
"Responsibility_level_ungrouped","SEO"
"Responsibility_level_ungrouped","G7"
"Responsibility_level_ungrouped","G6"
"Responsibility_level_ungrouped","AO"
"Responsibility_level_ungrouped","SCS level"
"Responsibility_level_ungrouped","AA"
"Responsibility_level_ungrouped","Unknown"
"Region_london","London"
"Region_london","Outside London"
"Region_london","Unknown"
"Region_london","Overseas"
"Region_ITL1","London"
"Region_ITL1","North West (England)"
"Region_ITL1","North East (England)"
"Region_ITL1","Yorkshire and The Humber"
"Region_ITL1","South West (England)"
"Region_ITL1","Scotland"
"Region_ITL1","Unknown"
"Region_ITL1","East of England"
"Region_ITL1","West Midlands (England)"
"Region_ITL1","South East (England)"
"Region_ITL1","East Midlands (England)"
"Region_ITL1","Wales"
"Region_ITL1","Northern Ireland"
"Region_ITL1","Overseas"
"Region_ITL2","Inner London - West"
"Region_ITL2","Inner London - East"
"Region_ITL2","Greater Manchester"
"Region_ITL2","Northumberland, and Tyne and Wear"
"Region_ITL2","South Yorkshire"
"Region_ITL2","Gloucestershire, Wiltshire and Bath/Bristol area"
"Region_ITL2","Eastern Scotland"
"Region_ITL2","Unknown"
"Region_ITL2","West Yorkshire"
"Region_ITL2","East Anglia"
"Region_ITL2","West Midlands"
"Region_ITL2","North Yorkshire"
"Region_ITL2","Outer London - South"
"Region_ITL2","Hampshire and Isle of Wight"
"Region_ITL2","Merseyside"
"Region_ITL2","West Central Scotland"
"Region_ITL2","Derbyshire and Nottinghamshire"
"Region_ITL2","Berkshire, Buckinghamshire and Oxfordshire"
"Region_ITL2","Southern Scotland"
"Region_ITL2","Kent"
"Region_ITL2","Shropshire and Staffordshire"
"Region_ITL2","East Wales"
"Region_ITL2","Lancashire"
"Region_ITL2","Tees Valley and Durham"
"Region_ITL2","Bedfordshire and Hertfordshire"
"Region_ITL2","East Yorkshire and Northern Lincolnshire"
"Region_ITL2","Cheshire"
"Region_ITL2","Surrey, East and West Sussex"
"Region_ITL2","West Wales and The Valleys"
"Region_ITL2","Northern Ireland"
"Region_ITL2","Dorset and Somerset"
"Region_ITL2","Devon"
"Region_ITL2","Cumbria"
"Region_ITL2","Herefordshire, Worcestershire and Warwickshire"
"Region_ITL2","Essex"
"Region_ITL2","Lincolnshire"
"Region_ITL2","Leicestershire, Rutland and Northamptonshire"
"Region_ITL2","Outer London - West and North West"
"Region_ITL2","Outer London - East and North East"
"Region_ITL2","Highlands and Islands"
"Region_ITL2","Cornwall and Isles of Scilly"
"Region_ITL2","North Eastern Scotland"
"Region_ITL2","Overseas"
"Region_ITL3","Westminster"
"Region_ITL3","Tower Hamlets"
"Region_ITL3","Greater Manchester South West"
"Region_ITL3","Tyneside"
"Region_ITL3","Camden and City of London"
"Region_ITL3","Sheffield"
"Region_ITL3","Wiltshire"
"Region_ITL3","City of Edinburgh"
"Region_ITL3","Unknown"
"Region_ITL3","Leeds"
"Region_ITL3","Norwich and East Norfolk"
"Region_ITL3","Bristol, City of"
"Region_ITL3","Lewisham and Southwark"
"Region_ITL3","Peterborough"
"Region_ITL3","Birmingham"
"Region_ITL3","York"
"Region_ITL3","Bath and North East Somerset, North Somerset and South Gloucestershire"
"Region_ITL3","Manchester"
"Region_ITL3","Coventry"
"Region_ITL3","Croydon"
"Region_ITL3","Central Hampshire"
"Region_ITL3","Liverpool"
"Region_ITL3","Glasgow City"
"Region_ITL3","Nottingham"
"Region_ITL3","North Hampshire"
"Region_ITL3","Buckinghamshire"
"Region_ITL3","South Lanarkshire"
"Region_ITL3","West Kent"
"Region_ITL3","South Hampshire"
"Region_ITL3","Telford and Wrekin"
"Region_ITL3","Sefton"
"Region_ITL3","Cardiff and Vale of Glamorgan"
"Region_ITL3","Berkshire"
"Region_ITL3","Monmouthshire and Newport"
"Region_ITL3","Blackpool"
"Region_ITL3","North Yorkshire CC"
"Region_ITL3","Cambridgeshire CC"
"Region_ITL3","Oxfordshire CC"
"Region_ITL3","Darlington"
"Region_ITL3","Hackney and Newham"
"Region_ITL3","Central Bedfordshire"
"Region_ITL3","Inverclyde, East Renfrewshire, and Renfrewshire"
"Region_ITL3","East Riding of Yorkshire"
"Region_ITL3","Staffordshire CC"
"Region_ITL3","Hertfordshire CC"
"Region_ITL3","Milton Keynes"
"Region_ITL3","Warrington"
"Region_ITL3","Portsmouth"
"Region_ITL3","Brighton and Hove"
"Region_ITL3","Suffolk CC"
"Region_ITL3","East Ayrshire and North Ayrshire mainland"
"Region_ITL3","Durham"
"Region_ITL3","West Surrey"
"Region_ITL3","South Nottinghamshire"
"Region_ITL3","Swansea"
"Region_ITL3","Belfast"
"Region_ITL3","Greater Manchester South East"
"Region_ITL3","Solihull"
"Region_ITL3","East Merseyside"
"Region_ITL3","Dorset"
"Region_ITL3","Ards and North Down"
"Region_ITL3","Plymouth"
"Region_ITL3","Medway"
"Region_ITL3","West Cumbria"
"Region_ITL3","Herefordshire, County of"
"Region_ITL3","Gloucestershire CC"
"Region_ITL3","Lancaster and Wyre"
"Region_ITL3","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond"
"Region_ITL3","Bradford"
"Region_ITL3","East Cumbria"
"Region_ITL3","East Kent"
"Region_ITL3","Devon CC"
"Region_ITL3","Wirral"
"Region_ITL3","Essex Haven Gateway"
"Region_ITL3","Falkirk"
"Region_ITL3","North Nottinghamshire"
"Region_ITL3","Greater Manchester North West"
"Region_ITL3","Shropshire"
"Region_ITL3","Northumberland"
"Region_ITL3","Wolverhampton"
"Region_ITL3","Southampton"
"Region_ITL3","Somerset CC"
"Region_ITL3","Warwickshire CC"
"Region_ITL3","Wakefield"
"Region_ITL3","Lincolnshire CC"
"Region_ITL3","Leicestershire CC and Rutland"
"Region_ITL3","South Teesside"
"Region_ITL3","Worcestershire CC"
"Region_ITL3","Barnsley, Doncaster and Rotherham"
"Region_ITL3","Cheshire West and Chester"
"Region_ITL3","Leicester"
"Region_ITL3","Chorley and West Lancashire"
"Region_ITL3","Cheshire East"
"Region_ITL3","Breckland and South Norfolk"
"Region_ITL3","East Surrey"
"Region_ITL3","Mid Lancashire"
"Region_ITL3","Swindon"
"Region_ITL3","Hartlepool and Stockton-on-Tees"
"Region_ITL3","Kent Thames Gateway"
"Region_ITL3","South and West Derbyshire"
"Region_ITL3","Heart of Essex"
"Region_ITL3","Greater Manchester North East"
"Region_ITL3","North and West Norfolk"
"Region_ITL3","Mid Kent"
"Region_ITL3","West Sussex (South West)"
"Region_ITL3","East Sussex CC"
"Region_ITL3","West Northamptonshire"
"Region_ITL3","Hounslow and Richmond upon Thames"
"Region_ITL3","Bexley and Greenwich"
"Region_ITL3","Kingston upon Hull, City of"
"Region_ITL3","Walsall"
"Region_ITL3","Bournemouth, Christchurch and Poole"
"Region_ITL3","Bridgend and Neath Port Talbot"
"Region_ITL3","Wandsworth"
"Region_ITL3","Isle of Wight"
"Region_ITL3","Haringey and Islington"
"Region_ITL3","Central Valleys"
"Region_ITL3","Luton"
"Region_ITL3","Gwent Valleys"
"Region_ITL3","Stoke-on-Trent"
"Region_ITL3","Southend-on-Sea"
"Region_ITL3","Gwynedd"
"Region_ITL3","South West Wales"
"Region_ITL3","North and North East Lincolnshire"
"Region_ITL3","Blackburn with Darwen"
"Region_ITL3","Calderdale and Kirklees"
"Region_ITL3","East Lancashire"
"Region_ITL3","Bedford"
"Region_ITL3","Flintshire and Wrexham"
"Region_ITL3","North Northamptonshire"
"Region_ITL3","Kensington & Chelsea and Hammersmith & Fulham"
"Region_ITL3","Sunderland"
"Region_ITL3","Inverness and Nairn, Moray, and Badenoch and Strathspey"
"Region_ITL3","Dudley"
"Region_ITL3","Harrow and Hillingdon"
"Region_ITL3","Barking & Dagenham and Havering"
"Region_ITL3","Cornwall and Isles of Scilly"
"Region_ITL3","Aberdeen City and Aberdeenshire"
"Region_ITL3","Derby"
"Region_ITL3","Redbridge and Waltham Forest"
"Region_ITL3","Lambeth"
"Region_ITL3","Perth and Kinross, and Stirling"
"Region_ITL3","Clackmannanshire and Fife"
"Region_ITL3","Scottish Borders"
"Region_ITL3","Angus and Dundee City"
"Region_ITL3","South Ayrshire"
"Region_ITL3","North Lanarkshire"
"Region_ITL3","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute"
"Region_ITL3","West Lothian"
"Region_ITL3","Dumfries and Galloway"
"Region_ITL3","Orkney Islands"
"Region_ITL3","Caithness and Sutherland, and Ross and Cromarty"
"Region_ITL3","Na h-Eileanan Siar"
"Region_ITL3","Shetland Islands"
"Region_ITL3","Lisburn and Castlereagh"
"Region_ITL3","Overseas"
"Region_ITL3","Powys"
"Region_ITL3","Causeway Coast and Glens"
"Region_ITL3","Sandwell"
"Region_ITL3","Antrim and Newtownabbey"
"Region_ITL3","Isle of Anglesey"
"Region_ITL3","Armagh City, Banbridge and Craigavon"
"Region_ITL3","Fermanagh and Omagh"
"Region_ITL3","Newry, Mourne and Down"
"Region_ITL3","Conwy and Denbighshire"
"Region_ITL3","West Essex"
"Region_ITL3","Ealing"
"Region_ITL3","Barnet"
"Region_ITL3","Merton, Kingston upon Thames and Sutton"
"Region_ITL3","Derry City and Strabane"
"Region_ITL3","Torbay"
"Region_ITL3","East Derbyshire"
"Region_ITL3","Brent"
"Region_ITL3","East Lothian and Midlothian"
"Region_ITL3","West Sussex (North East)"
"Region_ITL3","Thurrock"
"Region_ITL3","Essex Thames Gateway"
"Region_ITL3","Mid and East Antrim"
"Region_ITL3","Enfield"
"Region_ITL3","Bromley"
"Region_ITL3","Mid Ulster"
"Profession_of_post","Unknown"
"Profession_of_post","Policy"
"Profession_of_post","Other"
"Profession_of_post","Operational Delivery"
"Profession_of_post","Digital, Data and Technology"
"Profession_of_post","Human Resources"
"Profession_of_post","Finance"
"Profession_of_post","Legal"
"Profession_of_post","Communications"
"Profession_of_post","Knowledge and Information Management"
"Profession_of_post","Project Delivery"
"Profession_of_post","Security"
"Profession_of_post","Commercial"
"Profession_of_post","Property"
"Profession_of_post","Economics"
"Profession_of_post","Tax"
"Profession_of_post","Operational Research"
"Profession_of_post","Statistics"
"Profession_of_post","Corporate Finance"
"Profession_of_post","Social Research"
"Profession_of_post","Psychology"
"Profession_of_post","Counter Fraud"
"Profession_of_post","Intelligence Analysis"
"Profession_of_post","Internal Audit"
"Profession_of_post","Science and Engineering"
"Profession_of_post","Medicine"
"Profession_of_post","Geography"
"Profession_of_post","International Trade"
"Profession_of_post","Planning"
"Profession_of_post","Veterinarian"
"Profession_of_post","Inspector of Education and Training"
"Profession_of_post","Planning Inspectors"
"Function_of_post","No function"
"Function_of_post","Communications"
"Function_of_post","Digital, Data & Technology"
"Function_of_post","Human Resources"
"Function_of_post","Commercial"
"Function_of_post","Finance"
"Function_of_post","Security"
"Function_of_post","Project Delivery"
"Function_of_post","Counter Fraud"
"Function_of_post","Property"
"Function_of_post","Legal"
"Function_of_post","Analysis"
"Function_of_post","Unknown"
"Function_of_post","Internal Audit"
"Function_of_post","Debt"
"Function_of_post","Grants Management"
"Sex","Female"
"Sex","Male"
"Sex","Unknown"
"Ethnicity","White"
"Ethnicity","Unknown"
"Ethnicity","Asian"
"Ethnicity","Undeclared"
"Ethnicity","Black"
"Ethnicity","Mixed"
"Ethnicity","Other ethnicity"
"Disability","Declared non-disabled"
"Disability","Declared disabled"
"Disability","Unknown"
"Disability","Undeclared"
"Sexual_orientation","Heterosexual / straight"
"Sexual_orientation","LGBO"
"Sexual_orientation","Unknown"
"Sexual_orientation","Undeclared"
"Age","65+"
"Age","40-49"
"Age","30-39"
"Age","50-59"
"Age","60-64"
"Age","20-29"
"Age","16-19"
"Age","Unknown"
